product_id,book_title,genre,price,stock,published_year
1,Provide born.,Sci-Fi,4938.16,142,2018
2,Single collection use.,NA,4278.52,251,2020
3,Then popular.,Fiction ,3999.13,322,2023
4,New real office.,History,3634.28,332,2022
5,Western rather half.,Romance,2422.25,367,2020
6,Politics institution.,History,2931.08,330,2018
7,Play while car.,Romance,4475.53,370,2018
8,Without ago rate.,Sci-Fi,1650.78,425,2022
9,First threat whole.,Fiction ,3402.02,76,2022
10,Media office front.,Romance,1732.16,144,2020
11,Any human.,Fiction ,230.61,313,2019
12,Property order it soon.,NA,474.34,183,2021
13,Group wear.,Fiction ,3349,381,2021
14,Candidate listen would.,Sci-Fi,1280.56,416,2023
15,Effort police.,Romance,3669.55,372,2021
16,Our system.,Fiction ,2884.85,362,2021
17,Stuff operation.,History,550.96,325,2021
18,Purpose something.,NA,1900.8,238,2023
19,Sea bed herself street.,Sci-Fi,820.65,311,2020
20,Friend relationship media out.,Romance,1131.41,319,2021
21,My support rest.,Fiction,4691.05,211,2021
22,State else carry big.,Romance,4524.53,-11,2019
23,Street.,Romance,4704.13,24,2021
24,Health money.,Sci-Fi,4158.9,217,2020
25,From.,Fiction,4934.21,213,2020
26,Goal recently series.,History,2019.02,195,2023
27,Sound cost return.,Romance,4288.05,416,2023
28,White along reflect.,NA,333.61,112,2020
29,Whole style.,History,3100.1,259,2021
30,Cultural piece.,Fiction,1620.29,267,2023
31,Would child spend.,Fiction,840.69,90,2021
32,Talk surface.,NA,41.01,355,2022
33,Situation hard cost.,History,4219.34,297,2021
34,Agree worker.,Romance,4833.74,407,2021
35,Hand society industry.,Fiction ,4654.61,424,2035
36,Look guy oil small.,Sci-Fi,600.46,342,2019
37,Send sport.,NA,2951.35,143,2023
38,Entire he he reality.,History,3506.44,306,2020
39,Local argue many.,Fiction,193.75,107,2020
40,Else argue.,History,3472.27,324,2020
41,Better worry campaign.,NA,2188.22,11,2020
42,Employee.,Sci-Fi,437.72,168,2018
43,Stock agency week.,Romance,1881.17,360,2021
44,Piece how head.,Fiction ,1546.67,370,2023
45,Receive sport very.,NA,181.16,57,2020
46,Thank western.,Sci-Fi,4351.48,246,2018
47,Performance only technology.,Fiction,4155.43,12,2023
48,Letter big remember.,Fiction,3080.16,191,2021
49,Laugh again also general.,Fiction,3983,21,2021
50,Anything turn.,Fiction ,1162.88,151,2035
51,Follow say.,Romance,3800.03,342,2019
52,Response put.,Sci-Fi,3633.87,459,2022
53,Election scientist cost.,NA,2234.41,207,2023
54,Base agreement better.,History,2034.62,400,2021
55,Husband treatment drive.,Fiction ,26.28,132,2018
56,Message various feel.,Romance,1363.07,430,2021
57,Commercial across.,Sci-Fi,3772.21,191,2021
58,Hard spring fill.,Sci-Fi,420.51,275,2022
59,Six woman discussion Mrs.,History,1958.24,152,2018
60,Sport fact read.,Sci-Fi,1574.07,493,2022
61,Would must alone.,NA,4544.24,372,2019
62,If response especially.,Fiction ,2329.2,43,2021
63,Yourself alone.,NA,4431.44,20,2021
64,Want never.,Fiction,4492.97,431,2021
65,Deal something each.,Sci-Fi,2835.33,239,2018
66,Eat.,Fiction ,2822.12,451,2019
67,Among idea interview.,Fiction ,3151.9,161,2021
68,Authority dog.,History,3608.26,303,2018
69,Day ability.,Fiction ,2719.83,10,2021
70,Management final sit.,Sci-Fi,1892.77,331,2019
71,Friend several year.,History,4339.62,185,2035
72,Single consumer.,NA,377.22,323,2021
73,Some back.,Romance,3200.03,332,2020
74,South.,Fiction,2133.87,486,2022
75,Bank.,NA,662.21,240,2021
76,Street little.,NA,1522.87,303,2022
77,Pattern voice.,Fiction,1901.05,153,2022
78,Face shake.,NA,1985.54,403,2035
79,Billion series hotel piece.,Sci-Fi,1433.8,458,2023
80,Shoulder often.,Sci-Fi,2086.04,18,2035
81,Owner force member.,Sci-Fi,3642.33,22,2020
82,Dream.,Fiction,1974.72,15,2035
83,Guy price whose.,History,3270.83,376,2035
84,Usually.,NA,2117.46,403,2023
85,Certainly evidence discussion.,Fiction ,4375.32,115,2022
86,Along particularly.,History,496.43,174,2020
87,Stuff fire.,NA,3515.18,123,2021
88,Center book.,Fiction,1071.91,423,2018
89,Pick computer.,Fiction,2067.84,319,2020
90,Mother firm color.,Fiction,3628,138,2021
91,Into shoulder.,History,3194.89,290,2018
92,Painting century event.,NA,2012.13,448,2021
93,Short sort.,Sci-Fi,248.07,80,2018
94,Story attention.,History,9.48,174,2020
95,Figure.,History,3923.53,283,2021
96,Option article.,NA,2637.06,442,2019
97,Whom must.,Fiction ,1573,173,2020
98,Example student.,History,798.36,491,2021
99,Camera whole set.,History,3883.82,139,2023
100,Service collection phone.,NA,4954.74,370,2020
101,Certain threat.,History,2294.29,315,2020
102,Red.,Fiction,3661.07,224,2020
103,Discover performance seat.,Sci-Fi,590.8,172,2021
104,Deep result today law.,Fiction ,123.85,93,2021
105,Wide spend.,Romance,4645.6,377,2018
106,Coach eight.,Fiction ,3150.47,381,2020
107,Scene peace grow.,NA,4437.39,153,2021
108,Positive meet.,Fiction ,3195.11,55,2021
109,Mouth continue.,Fiction ,681.25,423,2023
110,Knowledge red.,Sci-Fi,1858.83,329,2018
111,Us ability under.,Fiction,2425.48,404,2021
112,Hear two and.,History,4052.6,103,2021
113,Contain woman race.,Romance,442.26,465,2019
114,Air teacher.,Fiction,3544.46,371,2019
115,Lay call social.,Fiction ,2167.27,310,2021
116,Issue thousand development.,Romance,3504.89,-12,2019
117,Study.,History,4021.06,113,2021
118,Key.,Fiction ,3071.28,103,2035
119,Tonight space political.,Sci-Fi,4923.24,87,2023
120,Air who reveal.,Sci-Fi,4135.62,-12,2023
121,The.,Romance,4237.69,177,2022
122,Relationship.,NA,2482.07,200,2021
123,Claim tree.,History,4606.07,401,2020
124,For return method.,Sci-Fi,2176.73,416,2021
125,Seem those.,Romance,4342.78,23,2018
126,Sit hear five.,Sci-Fi,2113.48,175,2021
127,Goal.,Romance,3437.94,211,2020
128,Black process reveal.,NA,2907.71,206,2020
129,Power large life.,NA,3522.78,439,2022
130,Pass participant cut.,NA,4465.42,474,2022
131,Ball away decide.,NA,1650.28,172,2018
132,Police energy.,NA,-3,-6,2022
133,Song institution.,Romance,445.85,272,2035
134,What easy camera pull.,NA,3429.04,77,2020
135,Officer right.,Sci-Fi,2451.53,367,2021
136,Main laugh sit military.,Sci-Fi,4598.84,223,2018
137,Item.,Fiction,2761.01,121,2035
138,Serious laugh strong.,History,3715.13,313,2019
